TweetID,TweetText,TweetDate,TweetTimeIST,WeekdayName,IsWeekday,TweetCharacterCount,TweetWordCount,Impressions,Likes,Replies,Retweets,UserProfileClicks,HashtagClicks,URLClicks,TotalClicks,Engagements,EngagementRate,MediaEngagements,MediaViews,UserName,IsOddDate,EvenImpressions,HourIST
33,Sample tweet content number 33,2024-02-29,18:13:00,Thursday,True,216,57,6681,168,8,34,28,8,40,76,286,4.28,10,692,User_85,True,False,18
34,Sample tweet content number 34,2024-04-07,01:03:00,Sunday,False,261,75,5545,139,44,121,37,24,0,61,365,6.58,72,917,User_83,True,False,1
35,Sample tweet content number 35,2024-02-08,04:37:00,Thursday,True,170,27,7964,9,83,25,35,22,10,67,184,2.31,96,464,User_93,False,True,4
36,Sample tweet content number 36,2024-03-17,19:44:00,Sunday,False,125,40,2024,38,69,43,38,7,36,81,231,11.41,13,928,User_56,True,True,19
37,Sample tweet content number 37,2024-01-31,09:33:00,Wednesday,True,136,31,474,25,74,5,44,24,0,68,172,36.29,80,431,User_77,True,True,9
38,Sample tweet content number 38,2024-03-07,04:35:00,Thursday,True,201,47,999,117,56,64,32,3,9,44,281,28.13,81,942,User_87,True,False,4
39,Sample tweet content number 39,2024-01-12,04:46:00,Friday,True,188,20,1435,48,10,64,1,4,16,21,143,9.97,51,223,User_40,False,False,4
40,Sample tweet content number 40,2024-01-26,19:29:00,Friday,True,82,31,322,57,56,28,44,9,9,62,203,63.04,12,393,User_91,False,True,19
41,Sample tweet content number 41,2024-01-07,07:12:00,Sunday,False,266,53,5048,70,18,145,50,11,23,84,317,6.28,17,676,User_41,True,True,7
42,Sample tweet content number 42,2024-01-14,15:11:00,Sunday,False,237,70,6460,21,96,145,26,13,31,70,332,5.14,88,546,User_91,False,True,15
43,Sample tweet content number 43,2024-02-03,21:02:00,Saturday,False,277,70,5650,79,66,78,17,14,16,47,270,4.78,73,165,User_20,True,True,21
44,Sample tweet content number 44,2024-04-19,00:51:00,Friday,True,258,49,6357,151,19,111,6,5,23,34,315,4.96,50,785,User_20,True,False,0
45,Sample tweet content number 45,2024-04-17,07:52:00,Wednesday,True,169,80,7372,112,67,115,43,17,15,75,369,5.01,43,213,User_41,True,True,7
46,Sample tweet content number 46,2024-04-07,06:15:00,Sunday,False,105,7,5123,197,19,86,17,21,36,74,376,7.34,27,47,User_58,True,False,6
47,Sample tweet content number 47,2024-04-29,23:23:00,Monday,True,74,79,8544,111,65,150,48,7,34,89,415,4.86,49,26,User_5,True,True,23
48,Sample tweet content number 48,2024-02-04,20:13:00,Sunday,False,105,19,8030,63,31,20,22,13,40,75,189,2.35,90,689,User_16,False,True,20
49,Sample tweet content number 49,2024-03-19,21:54:00,Tuesday,True,189,47,9846,48,35,134,35,13,8,56,273,2.77,64,231,User_48,True,True,21
50,Sample tweet content number 50,2024-03-16,17:54:00,Saturday,False,165,70,2046,159,86,125,41,29,2,72,442,21.6,31,443,User_73,False,True,17
51,Sample tweet content number 51,2024-03-25,08:33:00,Monday,True,131,66,3254,69,78,82,8,7,19,34,263,8.08,56,468,User_77,True,True,8
52,Sample tweet content number 52,2024-03-07,03:05:00,Thursday,True,55,29,7155,114,9,53,17,29,10,56,232,3.24,12,439,User_42,True,False,3
53,Sample tweet content number 53,2024-01-19,16:22:00,Friday,True,198,17,743,185,8,19,12,2,9,23,235,31.63,54,242,User_28,True,False,16
54,Sample tweet content number 54,2024-02-08,05:39:00,Thursday,True,132,20,3592,2,63,130,40,10,35,85,280,7.8,49,812,User_8,False,True,5
55,Sample tweet content number 55,2024-03-22,19:18:00,Friday,True,70,54,3512,119,22,127,16,23,40,79,347,9.88,57,81,User_75,False,True,19
56,Sample tweet content number 56,2024-03-23,20:52:00,Saturday,False,44,15,9567,43,82,129,6,7,13,26,280,2.93,84,266,User_32,True,False,20
57,Sample tweet content number 57,2024-02-29,08:28:00,Thursday,True,252,26,8276,143,73,138,49,19,22,90,444,5.36,73,943,User_87,True,True,8
58,Sample tweet content number 58,2024-01-01,09:33:00,Monday,True,110,27,8225,26,54,61,12,27,5,44,185,2.25,29,447,User_63,True,False,9
59,Sample tweet content number 59,2024-02-02,11:45:00,Friday,True,195,55,2374,170,60,63,14,0,22,36,329,13.86,40,626,User_53,False,True,11
60,Sample tweet content number 60,2024-03-13,08:00:00,Wednesday,True,188,58,4457,90,0,56,12,15,8,35,181,4.06,3,657,User_55,True,False,8
61,Sample tweet content number 61,2024-01-05,22:54:00,Friday,True,199,21,1243,97,53,93,5,30,3,38,281,22.61,51,458,User_15,True,False,22
62,Sample tweet content number 62,2024-02-18,23:01:00,Sunday,False,207,6,3700,47,31,22,34,17,34,85,185,5.0,17,941,User_99,False,True,23
63,Sample tweet content number 63,2024-03-05,00:41:00,Tuesday,True,69,33,6185,59,56,142,44,30,19,93,350,5.66,5,766,User_63,True,False,0
64,Sample tweet content number 64,2024-02-09,08:04:00,Friday,True,38,5,6249,37,83,102,35,0,22,57,279,4.46,87,529,User_7,True,False,8
65,Sample tweet content number 65,2024-04-26,00:22:00,Friday,True,22,33,3648,132,16,37,28,19,0,47,232,6.36,29,284,User_51,False,True,0
66,Sample tweet content number 66,2024-01-15,07:56:00,Monday,True,280,63,5369,74,25,15,11,18,20,49,163,3.04,59,282,User_5,True,False,7
67,Sample tweet content number 67,2024-02-09,02:30:00,Friday,True,129,62,2903,130,14,39,49,2,5,56,239,8.23,96,155,User_14,True,False,2
68,Sample tweet content number 68,2024-02-06,03:36:00,Tuesday,True,230,10,7800,2,45,48,13,19,12,44,139,1.78,50,691,User_29,False,True,3
69,Sample tweet content number 69,2024-02-09,19:44:00,Friday,True,142,42,4074,77,56,45,49,24,8,81,259,6.36,69,524,User_13,True,True,19
70,Sample tweet content number 70,2024-01-24,12:00:00,Wednesday,True,257,29,7225,174,13,10,45,30,24,99,296,4.1,84,645,User_45,False,False,12
71,Sample tweet content number 71,2024-02-20,03:01:00,Tuesday,True,41,53,1113,118,89,68,7,19,25,51,326,29.29,94,51,User_96,False,False,3
72,Sample tweet content number 72,2024-03-24,01:52:00,Sunday,False,261,16,3488,80,26,75,42,20,14,76,257,7.37,19,284,User_29,False,True,1
73,Sample tweet content number 73,2024-03-01,01:10:00,Friday,True,176,7,6068,173,40,145,32,6,1,39,397,6.54,57,886,User_93,True,True,1
74,Sample tweet content number 74,2024-02-28,16:47:00,Wednesday,True,219,47,7924,161,76,38,24,10,16,50,325,4.1,64,69,User_14,False,True,16
75,Sample tweet content number 75,2024-01-31,11:36:00,Wednesday,True,224,68,4346,177,22,121,32,22,5,59,379,8.72,75,434,User_75,True,True,11
76,Sample tweet content number 76,2024-03-03,19:18:00,Sunday,False,254,42,8825,142,60,41,27,21,35,83,326,3.69,22,92,User_55,True,False,19
77,Sample tweet content number 77,2024-03-04,22:53:00,Monday,True,42,15,8467,3,67,23,23,5,23,51,144,1.7,100,238,User_21,False,False,22
78,Sample tweet content number 78,2024-01-05,06:10:00,Friday,True,142,21,8431,28,99,2,30,17,36,83,212,2.51,100,764,User_4,True,False,6
79,Sample tweet content number 79,2024-01-26,20:33:00,Friday,True,121,49,1655,156,9,82,26,8,22,56,303,18.31,18,891,User_89,False,False,20
80,Sample tweet content number 80,2024-02-15,05:46:00,Thursday,True,99,11,970,68,2,9,12,22,27,61,140,14.43,81,804,User_90,True,True,5
81,Sample tweet content number 81,2024-03-29,16:55:00,Friday,True,109,33,1095,140,16,58,17,10,33,60,274,25.02,23,704,User_83,True,False,16
82,Sample tweet content number 82,2024-03-25,09:55:00,Monday,True,244,19,4609,161,90,150,0,19,7,26,427,9.26,41,698,User_18,True,False,9
83,Sample tweet content number 83,2024-04-14,15:48:00,Sunday,False,170,35,8618,92,40,72,12,26,22,60,264,3.06,32,177,User_99,False,True,15
84,Sample tweet content number 84,2024-01-13,00:02:00,Saturday,False,275,37,6166,193,99,87,29,8,32,69,448,7.27,14,34,User_24,True,True,0
85,Sample tweet content number 85,2024-02-29,04:09:00,Thursday,True,226,77,1385,109,19,118,25,2,33,60,306,22.09,16,180,User_90,True,False,4
86,Sample tweet content number 86,2024-02-04,08:26:00,Sunday,False,132,49,9517,46,63,10,4,0,19,23,142,1.49,52,209,User_27,False,False,8
87,Sample tweet content number 87,2024-01-26,11:25:00,Friday,True,78,53,4928,188,49,135,47,13,16,76,448,9.09,56,972,User_58,False,True,11
88,Sample tweet content number 88,2024-02-10,13:56:00,Saturday,False,98,60,8159,124,22,63,45,18,39,102,311,3.81,74,666,User_87,False,False,13
89,Sample tweet content number 89,2024-03-07,05:24:00,Thursday,True,96,51,2033,110,38,139,2,25,38,65,352,17.31,28,311,User_37,True,False,5
90,Sample tweet content number 90,2024-02-09,16:04:00,Friday,True,56,35,6801,59,28,31,49,8,35,92,210,3.09,17,425,User_39,True,False,16
91,Sample tweet content number 91,2024-04-26,16:41:00,Friday,True,93,41,7790,84,43,60,35,27,20,82,269,3.45,43,16,User_78,False,True,16
92,Sample tweet content number 92,2024-01-27,11:51:00,Saturday,False,246,54,9390,178,82,102,3,20,2,25,387,4.12,94,430,User_55,True,True,11
93,Sample tweet content number 93,2024-03-13,08:44:00,Wednesday,True,242,72,1781,57,96,135,5,11,17,33,321,18.02,24,611,User_5,True,False,8
94,Sample tweet content number 94,2024-02-23,11:04:00,Friday,True,260,76,8642,38,69,42,9,6,40,55,204,2.36,98,645,User_11,True,True,11
95,Sample tweet content number 95,2024-01-29,13:52:00,Monday,True,107,74,9652,15,53,139,18,3,14,35,242,2.51,8,144,User_61,True,True,13
96,Sample tweet content number 96,2024-03-02,15:58:00,Saturday,False,69,62,5857,100,6,53,18,19,4,41,200,3.41,56,322,User_58,False,False,15
97,Sample tweet content number 97,2024-04-28,15:33:00,Sunday,False,80,22,6794,160,2,71,37,6,40,83,316,4.65,76,486,User_19,False,True,15
98,Sample tweet content number 98,2024-04-07,04:18:00,Sunday,False,169,64,9449,165,32,7,17,6,23,46,250,2.65,83,33,User_84,True,False,4
99,Sample tweet content number 99,2024-04-15,12:35:00,Monday,True,113,71,3563,38,22,111,5,24,24,53,224,6.29,73,407,User_79,True,False,12
100,Sample tweet content number 100,2024-01-16,21:23:00,Tuesday,True,79,28,7744,174,34,12,18,17,13,48,268,3.46,54,17,User_85,False,True,21
101,Sample tweet content number 101,2024-03-04,19:32:00,Monday,True,81,13,9890,194,94,90,44,12,7,63,441,4.46,83,850,User_23,False,True,19
102,Sample tweet content number 102,2024-03-05,07:14:00,Tuesday,True,56,51,1440,89,93,101,34,10,22,66,349,24.24,87,895,User_81,True,True,7
103,Sample tweet content number 103,2024-02-24,22:55:00,Saturday,False,265,64,2190,123,12,27,4,27,27,58,220,10.05,62,839,User_2,False,True,22
104,Sample tweet content number 104,2024-03-26,01:10:00,Tuesday,True,52,28,1820,71,63,115,44,8,8,60,309,16.98,4,548,User_81,False,True,1
105,Sample tweet content number 105,2024-02-02,11:11:00,Friday,True,188,46,8141,159,54,136,6,8,39,53,402,4.94,61,708,User_75,False,False,11
106,Sample tweet content number 106,2024-03-06,02:13:00,Wednesday,True,183,70,9577,82,16,121,41,7,29,77,296,3.09,90,730,User_25,False,False,2
107,Sample tweet content number 107,2024-02-27,15:57:00,Tuesday,True,229,31,436,122,1,70,34,17,16,67,260,59.63,35,269,User_69,True,True,15
108,Sample tweet content number 108,2024-03-16,05:59:00,Saturday,False,86,47,6037,75,28,49,22,2,19,43,195,3.23,92,99,User_59,False,False,5
109,Sample tweet content number 109,2024-03-30,22:18:00,Saturday,False,81,37,8845,128,81,108,7,14,16,37,354,4.0,53,119,User_42,False,False,22
110,Sample tweet content number 110,2024-02-20,00:56:00,Tuesday,True,131,13,5473,196,78,31,45,19,2,66,371,6.78,24,582,User_29,False,False,0
111,Sample tweet content number 111,2024-03-06,17:37:00,Wednesday,True,30,18,1670,4,78,105,26,16,6,48,235,14.07,68,82,User_74,False,True,17
112,Sample tweet content number 112,2024-03-19,07:03:00,Tuesday,True,146,65,5776,61,87,140,38,27,8,73,361,6.25,62,526,User_9,True,True,7
113,Sample tweet content number 113,2024-04-19,10:43:00,Friday,True,60,65,6510,138,77,9,7,16,22,45,269,4.13,55,310,User_79,True,True,10
114,Sample tweet content number 114,2024-01-09,06:34:00,Tuesday,True,26,36,9451,175,88,86,26,28,37,91,440,4.66,77,752,User_48,True,False,6
115,Sample tweet content number 115,2024-01-18,20:22:00,Thursday,True,152,57,900,26,53,104,28,11,22,61,244,27.11,71,848,User_16,False,True,20
116,Sample tweet content number 116,2024-03-10,07:47:00,Sunday,False,149,19,3193,126,76,118,43,18,24,85,405,12.68,38,219,User_79,False,False,7
117,Sample tweet content number 117,2024-01-14,15:11:00,Sunday,False,22,46,5179,84,52,55,11,24,5,40,231,4.46,88,352,User_78,False,False,15
118,Sample tweet content number 118,2024-03-17,01:57:00,Sunday,False,197,72,5450,29,23,32,49,21,39,109,193,3.54,44,585,User_32,True,True,1
119,Sample tweet content number 119,2024-04-28,06:26:00,Sunday,False,114,61,7782,41,11,7,17,13,6,36,95,1.22,47,812,User_81,False,True,6
120,Sample tweet content number 120,2024-01-03,03:28:00,Wednesday,True,138,9,4006,134,51,5,29,14,19,62,252,6.29,12,784,User_19,True,True,3
121,Sample tweet content number 121,2024-03-10,08:31:00,Sunday,False,225,43,3516,196,0,121,41,25,31,97,414,11.77,71,913,User_70,False,True,8
122,Sample tweet content number 122,2024-04-19,01:36:00,Friday,True,230,8,8154,138,30,75,40,26,34,100,343,4.21,63,407,User_71,True,True,1
123,Sample tweet content number 123,2024-04-26,06:51:00,Friday,True,58,80,9696,58,91,105,1,4,7,12,266,2.74,29,492,User_11,False,True,6
124,Sample tweet content number 124,2024-04-23,00:48:00,Tuesday,True,167,48,5144,152,7,5,10,10,27,47,211,4.1,26,863,User_75,True,True,0
125,Sample tweet content number 125,2024-02-29,06:57:00,Thursday,True,244,49,3892,140,71,143,33,29,13,75,429,11.02,33,761,User_20,True,True,6
126,Sample tweet content number 126,2024-04-23,12:16:00,Tuesday,True,166,25,6864,104,98,42,36,20,4,60,304,4.43,4,927,User_71,True,True,12
127,Sample tweet content number 127,2024-03-18,17:55:00,Monday,True,157,68,9116,123,20,19,31,2,12,45,207,2.27,21,129,User_77,False,True,17
128,Sample tweet content number 128,2024-02-10,19:30:00,Saturday,False,217,64,3255,16,85,148,13,7,7,27,276,8.48,35,458,User_88,False,False,19
129,Sample tweet content number 129,2024-03-08,09:57:00,Friday,True,158,61,932,90,81,55,44,9,28,81,307,32.94,56,788,User_37,False,True,9
130,Sample tweet content number 130,2024-02-24,12:03:00,Saturday,False,34,48,583,145,67,52,26,25,7,58,322,55.23,52,683,User_40,False,False,12
131,Sample tweet content number 131,2024-04-24,13:00:00,Wednesday,True,129,64,5979,11,50,0,1,14,29,44,105,1.76,92,437,User_25,False,False,13
132,Sample tweet content number 132,2024-02-23,06:59:00,Friday,True,105,20,8293,44,47,137,48,7,4,59,287,3.46,87,526,User_22,True,False,6
133,Sample tweet content number 133,2024-01-30,14:46:00,Tuesday,True,109,52,1208,169,31,48,24,19,15,58,306,25.33,77,126,User_18,False,True,14
134,Sample tweet content number 134,2024-02-05,04:50:00,Monday,True,35,69,3830,195,2,107,17,1,32,50,354,9.24,94,573,User_98,True,True,4
135,Sample tweet content number 135,2024-01-20,09:31:00,Saturday,False,194,61,5814,102,19,115,0,8,2,10,246,4.23,71,959,User_87,False,True,9
136,Sample tweet content number 136,2024-03-14,15:57:00,Thursday,True,22,49,2530,157,83,48,11,18,0,29,317,12.53,47,304,User_27,False,True,15
137,Sample tweet content number 137,2024-04-20,18:58:00,Saturday,False,176,22,2094,40,14,20,36,28,31,95,169,8.07,50,699,User_93,False,True,18
138,Sample tweet content number 138,2024-01-06,19:30:00,Saturday,False,183,5,7739,22,49,136,37,8,21,66,273,3.53,66,449,User_8,False,False,19
139,Sample tweet content number 139,2024-01-25,10:26:00,Thursday,True,133,58,4346,171,93,99,8,2,10,20,383,8.81,61,128,User_62,True,True,10
140,Sample tweet content number 140,2024-01-23,23:06:00,Tuesday,True,83,70,9338,86,13,39,2,23,20,45,183,1.96,34,240,User_6,True,True,23
141,Sample tweet content number 141,2024-03-12,09:57:00,Tuesday,True,114,12,8829,148,0,94,1,28,39,68,310,3.51,22,303,User_78,False,False,9
142,Sample tweet content number 142,2024-02-01,11:14:00,Thursday,True,95,18,5545,93,13,58,19,20,7,46,210,3.79,6,944,User_6,True,False,11
143,Sample tweet content number 143,2024-01-25,23:35:00,Thursday,True,63,39,4621,167,20,132,27,24,10,61,380,8.22,27,917,User_88,True,False,23
144,Sample tweet content number 144,2024-01-07,04:54:00,Sunday,False,220,65,9927,192,2,128,19,21,13,53,375,3.78,83,237,User_84,True,False,4
145,Sample tweet content number 145,2024-04-21,09:36:00,Sunday,False,255,52,5831,41,78,117,30,21,39,90,326,5.59,72,720,User_48,True,False,9
146,Sample tweet content number 146,2024-01-14,11:30:00,Sunday,False,199,40,476,134,55,35,2,23,18,43,267,56.09,57,451,User_93,False,True,11
147,Sample tweet content number 147,2024-03-20,20:56:00,Wednesday,True,34,71,2953,29,60,16,24,17,20,61,166,5.62,84,965,User_62,False,False,20
148,Sample tweet content number 148,2024-04-15,18:32:00,Monday,True,178,50,1200,121,65,77,15,11,2,28,291,24.25,100,247,User_11,True,True,18
149,Sample tweet content number 149,2024-01-21,04:30:00,Sunday,False,166,38,1892,23,43,36,23,7,35,65,167,8.83,2,830,User_66,True,True,4
150,Sample tweet content number 150,2024-02-16,18:42:00,Friday,True,122,12,5087,46,96,35,36,18,1,55,232,4.56,79,585,User_45,False,False,18
151,Sample tweet content number 151,2024-01-08,02:42:00,Monday,True,163,51,6392,166,33,117,32,13,25,70,386,6.04,43,658,User_55,False,True,2
152,Sample tweet content number 152,2024-02-05,13:47:00,Monday,True,195,18,3608,160,67,43,32,24,12,68,338,9.37,63,763,User_37,True,True,13
153,Sample tweet content number 153,2024-01-03,20:21:00,Wednesday,True,137,56,5460,119,90,46,36,16,10,62,317,5.81,55,251,User_20,True,True,20
154,Sample tweet content number 154,2024-03-16,00:46:00,Saturday,False,89,73,4700,23,15,115,45,18,4,67,220,4.68,92,729,User_36,False,True,0
155,Sample tweet content number 155,2024-03-29,09:34:00,Friday,True,81,63,4441,102,97,2,17,8,8,33,234,5.27,99,45,User_30,True,False,9
156,Sample tweet content number 156,2024-03-06,20:54:00,Wednesday,True,26,75,1169,57,36,22,13,21,11,45,160,13.69,10,386,User_55,False,False,20
157,Sample tweet content number 157,2024-04-11,07:07:00,Thursday,True,47,29,977,11,29,116,31,14,1,46,202,20.68,6,93,User_84,True,False,7
158,Sample tweet content number 158,2024-01-02,04:43:00,Tuesday,True,155,16,2372,115,32,31,47,10,13,70,248,10.46,23,397,User_76,False,True,4
159,Sample tweet content number 159,2024-03-29,23:00:00,Friday,True,21,39,491,161,66,73,28,24,20,72,372,75.76,28,286,User_80,True,False,23
160,Sample tweet content number 160,2024-03-31,20:30:00,Sunday,False,198,28,1580,198,64,119,16,16,28,60,441,27.91,79,340,User_8,True,True,20
161,Sample tweet content number 161,2024-01-21,00:01:00,Sunday,False,90,14,6511,86,20,148,13,18,39,70,324,4.98,53,986,User_12,True,False,0
162,Sample tweet content number 162,2024-03-28,10:16:00,Thursday,True,32,28,1618,84,50,144,44,23,18,85,363,22.44,61,584,User_13,False,True,10
163,Sample tweet content number 163,2024-02-29,12:56:00,Thursday,True,214,46,157,162,68,146,8,14,8,30,406,258.6,52,30,User_28,True,False,12
164,Sample tweet content number 164,2024-03-27,16:02:00,Wednesday,True,77,48,7914,178,52,26,20,30,3,53,309,3.9,44,811,User_67,True,True,16
165,Sample tweet content number 165,2024-04-23,13:32:00,Tuesday,True,86,37,2853,148,87,29,14,27,35,76,340,11.92,79,870,User_19,True,False,13
166,Sample tweet content number 166,2024-02-04,10:53:00,Sunday,False,52,29,3887,105,77,12,8,25,33,66,260,6.69,21,746,User_60,False,False,10
167,Sample tweet content number 167,2024-01-27,14:33:00,Saturday,False,205,5,2456,122,20,120,1,4,36,41,303,12.34,12,804,User_73,True,True,14
168,Sample tweet content number 168,2024-04-27,02:21:00,Saturday,False,156,10,6368,36,8,15,14,22,28,64,123,1.93,99,499,User_61,True,True,2
169,Sample tweet content number 169,2024-02-08,13:09:00,Thursday,True,97,59,1022,38,45,111,47,8,1,56,250,24.46,40,634,User_91,False,True,13
170,Sample tweet content number 170,2024-01-23,23:44:00,Tuesday,True,23,21,3347,157,9,140,4,0,19,23,329,9.83,52,73,User_1,True,False,23
171,Sample tweet content number 171,2024-03-12,11:28:00,Tuesday,True,200,72,1642,124,59,120,44,28,27,99,402,24.48,5,88,User_27,False,True,11
172,Sample tweet content number 172,2024-02-12,20:59:00,Monday,True,22,29,5440,148,77,53,9,13,27,49,327,6.01,93,88,User_56,False,True,20
173,Sample tweet content number 173,2024-02-06,00:09:00,Tuesday,True,176,35,5720,165,30,91,43,25,5,73,359,6.28,58,863,User_57,False,True,0
174,Sample tweet content number 174,2024-03-08,14:09:00,Friday,True,57,14,4235,49,75,26,5,21,32,58,208,4.91,20,880,User_72,False,False,14
175,Sample tweet content number 175,2024-01-02,10:06:00,Tuesday,True,40,62,1410,192,65,123,44,10,23,77,457,32.41,16,17,User_40,False,True,10
176,Sample tweet content number 176,2024-04-20,04:19:00,Saturday,False,77,28,7482,150,85,94,34,13,13,60,389,5.2,76,569,User_95,False,True,4
177,Sample tweet content number 177,2024-03-05,20:40:00,Tuesday,True,88,12,3676,38,50,111,24,6,20,50,249,6.77,3,570,User_93,True,True,20
178,Sample tweet content number 178,2024-03-25,23:33:00,Monday,True,154,5,2089,131,30,81,26,16,19,61,303,14.5,93,518,User_39,True,False,23
179,Sample tweet content number 179,2024-02-19,11:00:00,Monday,True,227,27,8418,178,64,64,29,0,11,40,346,4.11,84,139,User_100,True,True,11
180,Sample tweet content number 180,2024-04-02,05:11:00,Tuesday,True,197,71,4719,153,75,92,13,16,14,43,363,7.69,28,757,User_25,False,False,5
181,Sample tweet content number 181,2024-01-04,07:44:00,Thursday,True,103,8,3418,17,26,8,28,25,34,87,138,4.04,30,804,User_5,False,True,7
182,Sample tweet content number 182,2024-01-23,14:28:00,Tuesday,True,191,64,4638,183,51,119,37,16,13,66,419,9.03,99,515,User_99,True,True,14
183,Sample tweet content number 183,2024-04-01,01:39:00,Monday,True,244,16,4240,176,41,67,16,25,3,44,328,7.74,89,208,User_40,True,True,1
184,Sample tweet content number 184,2024-02-20,19:45:00,Tuesday,True,260,42,1753,136,26,107,8,14,25,47,316,18.03,11,464,User_91,False,False,19
185,Sample tweet content number 185,2024-02-08,09:38:00,Thursday,True,196,80,1638,75,90,6,25,28,34,87,258,15.75,38,744,User_31,False,True,9
